room_type_Entire home/apt,neighbourhood_group_Manhattan,room_type_Shared room,neighbourhood_group_Bronx,minimum_nights,availability_365,neighbourhood_encoded,calculated_host_listings_count,number_of_reviews,price
True,False,False,False,2,0,3714,1,6,4.875197323201151
True,False,False,False,2,0,17,1,2,4.61512051684126
False,False,False,True,3,329,17,2,190,3.828641396489095
True,True,False,False,2,189,2658,1,0,4.605170185988092
False,False,False,False,1,225,3714,2,31,4.02535169073515
True,True,False,False,4,0,1798,1,0,5.170483995038151
True,True,False,False,2,0,1798,1,7,5.081404364984463
True,True,False,False,30,337,1545,1,0,6.329720905522696
True,True,False,False,30,137,1971,1,3,6.478509642208569
False,True,False,False,1,0,1958,1,1,4.382026634673881
True,True,False,False,3,2,768,1,3,5.081404364984463
True,False,False,False,2,97,68,3,3,4.605170185988092
True,True,False,False,30,156,470,232,0,5.733341276897746
False,True,False,False,2,359,252,1,4,4.110873864173311
False,False,False,False,2,19,3714,1,21,4.02535169073515
False,True,False,False,1,12,1113,2,33,4.61512051684126
True,False,False,False,2,28,218,1,18,4.836281906951478
False,False,False,False,1,0,3714,1,0,4.189654742026425
True,True,False,False,30,310,1971,96,2,5.225746673713202
True,False,False,False,20,3,1564,1,70,4.174387269895637
True,True,False,False,3,0,1798,1,18,4.941642422609304
False,False,False,False,2,358,2465,1,6,4.51085950651685
False,True,False,False,2,29,899,1,1,4.394449154672439
False,False,False,False,4,8,1115,1,0,4.663439094112067
False,False,False,False,1,0,59,1,0,4.2626798770413155
False,False,False,False,1,359,537,5,0,4.499809670330265
False,False,False,False,2,25,3920,4,16,4.330733340286331
False,False,False,False,1,99,621,2,91,3.828641396489095
True,True,False,False,2,2,1853,1,20,5.017279836814924
True,False,False,False,3,11,309,2,1,5.303304908059076
True,False,False,False,2,101,3714,1,3,4.77912349311153
False,True,False,False,1,0,1798,2,9,4.700480365792417
True,True,False,False,7,0,346,1,4,5.017279836814924
True,False,False,False,4,0,572,2,7,5.288267030694535
True,True,False,False,1,0,1971,1,0,5.017279836814924
True,True,False,False,3,0,768,1,51,5.5053315359323625
False,True,False,False,7,0,911,1,0,4.61512051684126
False,False,False,False,4,37,147,4,4,3.713572066704308
False,True,False,False,1,133,1958,30,21,5.298317366548036
False,False,False,True,2,53,31,1,0,4.04305126783455
False,False,False,False,4,0,390,1,1,4.2626798770413155
True,False,False,True,2,354,28,2,1,4.382026634673881
False,False,False,False,7,252,218,13,7,3.58351893845611
False,True,False,False,30,342,1971,32,0,4.110873864173311
False,False,False,False,2,15,2465,2,43,3.58351893845611
True,False,False,False,4,0,233,1,0,5.198497031265826
True,False,False,False,2,26,3920,1,2,5.860786223465865
True,False,False,False,3,181,1115,1,4,4.795790545596741
True,True,False,False,2,0,346,2,7,3.828641396489095
True,True,False,False,4,8,2658,1,1,5.003946305945459
False,True,False,False,1,270,1958,12,10,4.709530201312334
False,True,False,False,1,309,1545,8,0,4.61512051684126
True,True,False,False,30,352,1545,121,0,5.480638923341991
False,False,False,False,4,0,3920,1,0,4.394449154672439
True,False,False,False,2,10,3714,1,81,4.890349128221754
True,False,False,False,3,363,3920,3,7,4.564348191467836
True,True,False,False,2,10,338,1,13,5.075173815233827
False,False,False,False,3,2,572,2,0,4.61512051684126
True,True,False,False,3,0,2658,1,5,4.605170185988092
False,False,False,False,1,0,621,1,4,4.248495242049359
True,True,False,False,3,0,1853,1,0,4.7535901911063645
False,False,False,False,3,18,3714,1,5,3.4011973816621555
False,False,False,False,2,0,489,1,3,4.143134726391533
False,False,False,False,2,287,621,6,2,4.189654742026425
True,True,False,False,2,0,768,1,13,5.081404364984463
True,True,False,False,29,338,485,327,2,5.153291594497779
True,False,False,False,30,363,56,1,1,4.330733340286331
False,True,False,False,3,90,177,2,82,5.017279836814924
True,False,False,False,2,354,900,1,0,5.5254529391317835
False,False,False,False,3,37,1564,4,16,3.9318256327243257
True,True,False,False,3,158,1958,1,1,5.5254529391317835
False,False,False,False,3,9,3714,1,14,4.110873864173311
True,True,False,False,30,213,1971,1,31,5.017279836814924
False,False,False,False,1,167,500,1,1,4.454347296253507
True,True,False,False,4,197,2658,2,13,4.709530201312334
False,False,False,False,2,79,26,2,27,4.189654742026425
True,True,False,False,4,0,392,1,1,4.795790545596741
False,False,False,False,1,0,3920,1,0,5.017279836814924
True,True,False,False,1,180,358,1,1,5.135798437050262
False,False,False,False,3,0,489,1,0,4.663439094112067
True,True,False,False,10,0,346,1,5,4.51085950651685
True,False,False,False,3,0,489,1,16,5.170483995038151
True,True,False,False,5,4,346,1,4,5.198497031265826
False,False,False,False,2,282,426,2,31,4.02535169073515
False,True,False,False,1,0,899,1,0,4.3694478524670215
True,False,False,False,3,31,3920,1,4,4.553876891600541
True,True,False,False,1,0,358,1,0,5.303304908059076
False,True,False,False,23,35,2658,2,8,4.007333185232471
True,True,False,False,30,364,1798,121,0,5.521460917862246
True,False,False,False,30,338,1115,52,5,5.075173815233827
True,False,False,False,30,330,2465,2,0,4.948759890378168
False,True,False,False,30,360,2658,7,0,4.499809670330265
False,True,False,False,3,0,2658,2,6,3.713572066704308
False,False,False,False,1,22,55,1,15,4.2626798770413155
False,False,True,False,1,157,2465,1,11,3.4339872044851463
False,False,True,False,30,325,2465,8,2,3.4339872044851463
False,False,False,False,30,144,2465,43,3,3.871201010907891
False,False,False,False,1,161,237,2,0,4.605170185988092
True,True,False,False,7,4,346,1,4,5.5254529391317835
True,True,False,False,2,0,470,1,0,5.170483995038151
True,False,False,False,1,124,147,1,95,4.61512051684126
True,False,False,False,4,0,284,1,1,5.41610040220442
False,False,False,False,4,0,363,1,6,4.110873864173311
False,True,False,False,2,0,1798,1,2,4.564348191467836
False,False,False,False,1,0,2465,2,27,4.330733340286331
True,True,False,False,2,0,1545,1,43,5.303304908059076
True,False,False,False,5,15,154,1,42,5.303304908059076
False,False,False,False,1,108,506,1,3,4.330733340286331
True,True,False,False,30,331,338,232,0,5.855071922202427
False,False,False,False,15,8,3920,1,47,4.394449154672439
True,True,False,False,3,61,1958,2,12,5.707110264748875
